구군명,총계,총계(남),총계(여),자녀,자녀(남),자녀(여)
중구,405,130,275,150,80,70
서구,827,249,578,364,184,180
동구,942,309,633,403,211,192
영도구,1073,319,754,519,260,259
부산진구,2383,734,1649,1121,574,547
동래구,1344,414,930,659,327,332
남구,1856,590,1266,947,459,488
북구,2197,688,1509,1110,570,540
해운대구,2839,1071,1768,1389,716,673
사하구,3225,971,2254,1504,767,737
금정구,1485,485,1000,695,360,335
강서구,1396,449,947,681,323,358
연제구,1121,366,755,571,287,284
수영구,1260,448,812,586,285,301
사상구,2868,845,2023,1317,643,674
기장군,1587,519,1068,752,389,363
